"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000016255",955.699574802687,-4.21452776579758,0.196691704278985,-21.4270743204286,7.47309727040741e-102,1.29643291447028e-97
"ENSMUSG00000029372",7742.69915988132,-6.06154178294856,0.303691708206279,-19.9595234876526,1.23887897349504e-88,1.0746036216096e-84
"ENSMUSG00000005611",799.243801275429,-2.8802306916077,0.144749915500726,-19.8979783970461,4.23675056191498e-88,2.4499716249367e-84
"ENSMUSG00000045817",3011.34694625742,-4.07365328585195,0.205371876567832,-19.8354972157372,1.47055228018017e-87,6.37778523914141e-84
"ENSMUSG00000078810",324.643174940592,-6.42468363565396,0.334750648516423,-19.1924456730029,4.28014738215674e-82,1.4850399357131e-78
"ENSMUSG00000006389",519.347130527132,-6.4478886143086,0.33703313016364,-19.1313198532677,1.38522276938844e-81,4.00514076722512e-78
"ENSMUSG00000050761",1014.12273968217,-5.566418556674,0.294774601526967,-18.8836437326666,1.5548041899996e-79,3.85324901258758e-76
"ENSMUSG00000040152",5858.63458547655,-3.25639992159425,0.175009521584518,-18.6069871633905,2.82037603660968e-77,6.11598543538809e-74
"ENSMUSG00000054641",529.517637952098,-4.15331203313973,0.224165207718663,-18.5279066069536,1.22979059435469e-76,2.37048969231836e-73
"ENSMUSG00000029373",3626.79788427945,-5.64671104448758,0.311320850637249,-18.1379147362897,1.5998718929511e-73,2.77545775989157e-70
"ENSMUSG00000023993",896.30966794885,-6.40596875947056,0.354986156576991,-18.0456861226395,8.52985506939055e-73,1.34523568857988e-69
"ENSMUSG00000073414",407.488126165828,-5.67862421582821,0.315014518763076,-18.0265475957288,1.20590061019002e-72,1.74333031546471e-69
"ENSMUSG00000020689",4186.51855257962,-4.02521788522795,0.226336523518649,-17.7842171588197,9.36623991115915e-71,1.24988869214453e-67
"ENSMUSG00000026357",1081.16184525872,-3.05886584772917,0.172882024815822,-17.6933712512212,4.71671588128496e-70,5.84468479346653e-67
"ENSMUSG00000050675",592.924399264668,-3.48629022690917,0.200928313654415,-17.350915674858,1.94125117368243e-67,2.24512169073618e-64
"ENSMUSG00000000182",926.127695206252,9.17986989526936,0.539602318998921,17.012287701617,6.65861510324002e-65,7.21960342568799e-62
"ENSMUSG00000021675",668.124353755705,-4.528010743764,0.271027861871998,-16.7068090803982,1.1692728250696e-62,1.19320852760632e-59
"ENSMUSG00000062345",148.118115101583,-4.12490549963316,0.248640328230351,-16.5898489959025,8.25275900266242e-62,7.95382573212154e-59
"ENSMUSG00000034664",3283.37065759462,-3.72592804474576,0.22549809183532,-16.5231023217118,2.50191072621278e-61,2.28437617254417e-58
"ENSMUSG00000024511",668.246488076983,-3.3995378577966,0.213045493263062,-15.9568635117709,2.55239916670672e-57,2.21395103720141e-54
"ENSMUSG00000043613",141.59658336988,4.55964127704835,0.286501007836949,15.9149222945956,4.99289575799702e-57,4.12460740998725e-54
"ENSMUSG00000026158",3236.28913163864,-1.55024969794718,0.0999722837594807,-15.5067948800376,3.12072493905831e-54,2.46083346558107e-51
"ENSMUSG00000047953",1121.31635990955,-4.19044764452197,0.276161260603236,-15.1739155425657,5.26405790576286e-52,3.97047289344235e-49
"ENSMUSG00000000120",1531.87421383866,2.14158458832965,0.141394775977084,15.1461365777526,8.03533586088392e-52,5.80820860477559e-49
"ENSMUSG00000026725",258.785714520363,3.05809523395162,0.205976286024219,14.8468316085282,7.29351884688438e-50,5.06111859823001e-47
"ENSMUSG00000004415",1092.17520296373,2.6210960207056,0.18145983586458,14.4444968122955,2.71533053564168e-47,1.811752082012e-44
"ENSMUSG00000032034",185.921343463548,-7.19000636804476,0.498549732344108,-14.421843803302,3.77131300663528e-47,2.42313844589292e-44
"ENSMUSG00000001435",4223.58138694426,1.30197958563127,0.0905717118328132,14.3751239684484,7.41371906543554e-47,4.59332851239913e-44
"ENSMUSG00000034923",184.775913457399,-5.77551134460563,0.405009771837313,-14.2601777690578,3.87466231710376e-46,2.31784971990055e-43
"ENSMUSG00000053113",1874.21116273766,2.42660264209291,0.171250143423678,14.169930568113,1.40639495577599e-45,8.13271323093393e-43
"ENSMUSG00000049493",246.242622150364,-3.96806403458663,0.285409315085604,-13.9030642128708,6.06866139056948e-44,3.39610121947095e-41
"ENSMUSG00000040009",353.26293352106,-3.55345225566282,0.260792999401387,-13.6255661149619,2.82213321136073e-42,1.52994896720893e-39
"ENSMUSG00000031616",588.926775210169,1.51655048923596,0.111507849038119,13.6003922801661,3.98291418693344e-42,2.09380591863398e-39
"ENSMUSG00000068794",504.199650316623,1.79479152595133,0.133617056656349,13.4323534050549,3.90791753247195e-41,1.99395745156833e-38
"ENSMUSG00000031997",178.946181545389,-3.61177989511546,0.272625933551581,-13.2481156435255,4.62674850369644e-40,2.29328094406074e-37
"ENSMUSG00000028755",519.889272381988,3.84414144501969,0.292712251570265,13.1328341208735,2.1351339926157e-39,1.02889734733048e-36
"ENSMUSG00000020027",890.493242188617,1.43969772113265,0.111280560296379,12.9375491756892,2.76303927427278e-38,1.29549203594822e-35
