"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"ENSMUSG00000091694",696.570447797871,3.38527593245267,0.20502373723927,16.5116292290679,3.02602417675451e-61,4.33205621144176e-57,"Apol11b"
"ENSMUSG00000045817",1734.11170056502,-2.42470838821906,0.187126792643374,-12.9575693248805,2.12886902234495e-38,1.52384444619452e-34,"Zfp36l2"
"ENSMUSG00000106438",214.964127925479,4.07213353336916,0.346861938593768,11.7399261212638,7.95559161053028e-32,3.79640831654505e-28,"Gm32051"
"ENSMUSG00000039004",3652.89804457422,1.10589957647066,0.134016695128942,8.25195379879085,1.5582566842779e-16,5.57700067303062e-13,"Bmp6"
"ENSMUSG00000020429",357.297544939424,1.66087284134199,0.231868923615291,7.16298163395822,7.89409294217365e-13,2.26023669120316e-09,"Igfbp1"
"ENSMUSG00000030096",7458.41980344332,0.957632937586254,0.13475553185339,7.106446202358,1.19069039616327e-12,2.43513195878191e-09,"Slc6a6"
"ENSMUSG00000061068",129.180086903055,-2.8171957737697,0.395640936765875,-7.12058715864584,1.07468247052017e-12,2.43513195878191e-09,"Mcpt4"
"ENSMUSG00000041134",2725.8868954578,1.04687368735782,0.15057954888881,6.95229661055,3.5938676874183e-12,6.43122622663506e-09,"Cyyr1"
"ENSMUSG00000055413",333.24415324302,1.95955065787216,0.28473396690548,6.88204038024956,5.90012818820992e-12,9.38513723804592e-09,"H2-Q5"
"ENSMUSG00000032081",72.9238938902602,2.94158186385393,0.431861946404409,6.81139398445479,9.66575152457391e-12,1.383748988258e-08,"Apoc3"
"ENSMUSG00000036867",6387.07429735542,1.23479159435773,0.187738343904834,6.5771944541263,4.79407647125722e-11,6.2392726147744e-08,"Smad6"
"ENSMUSG00000026814",13533.2935428279,0.853613886513382,0.131751913841711,6.47894866665033,9.23639181494489e-11,1.10190154352293e-07,"Eng"
"ENSMUSG00000027217",3079.7470410152,1.02834353441937,0.159304555742532,6.45520480959364,1.08072643361453e-10,1.10511997311612e-07,"Tspan18"
"ENSMUSG00000000031",22902.930075006,1.70364607161082,0.263879013129143,6.45616357060216,1.07390534888903e-10,1.10511997311612e-07,"H19"
"ENSMUSG00000016255",85.4016520146921,-2.41837738055828,0.387950054355968,-6.23373383610682,4.55446667063999e-10,4.34678299045881e-07,"Tubb1"
"ENSMUSG00000023993",66.3012382008402,-2.76046159515316,0.450930815962117,-6.12169649409162,9.25842517385906e-10,8.28397592431039e-07,"Treml1"
"ENSMUSG00000061353",7001.35092891685,0.865174487459597,0.143101748098239,6.04586945273133,1.48606392154949e-09,1.25144065299427e-06,"Cxcl12"
"ENSMUSG00000042670",1721.46350070107,-0.861887293726356,0.146309978950874,-5.89083054967665,3.8425941984554e-09,3.05614325250487e-06,"Immp1l"
"ENSMUSG00000007279",1462.77842075434,0.884040088082094,0.153062726020599,5.77567191612097,7.66465949169217e-09,5.77511922542448e-06,"Scube2"
"ENSMUSG00000020526",506.713291437218,-1.0118399055488,0.176840876350787,-5.72175351326399,1.05430191481833e-08,7.54669310626963e-06,"Znhit3"
"ENSMUSG00000053310",262.732083698029,-1.32699455122329,0.236227701633879,-5.61743835310201,1.93809287647699e-08,1.32122560093545e-05,"Nrgn"
"ENSMUSG00000070394",3075.68082871243,-0.807031301355041,0.144363679549273,-5.590265528523,2.26722643709039e-08,1.475346076063e-05,"Tmem256"
